annot_id,filename,offset,end,freq_min,freq_max,start,sound_id_species,kw_ecotype,pod,label,comments,annotator,,,
1,AMAR418.1.20180915T220639Z.wav,430.316,432.6374249,300,7916.5,430.316,KW,KWSR,J & J,S1 & S1,Two S1. In vessel noise,1,,,
2,AMAR418.1.20190402T085409Z.wav,1198.274,1200.709679,100,9664,1198.274199,KW,KWSR,J & J & J,S1 & S1 & S1,3 overlapped S1 (two faint and one - middle - loud),1,,,
3,AMAR418.1.20190402T085409Z.wav,1229.415,1232.89113,100,12041,1229.415329,KW,KWSR,J & J,S1 & S1,Multiple calls overlapped. I don't know what is the buzz at the beginning. If it is part of a call or just by itself. Also there are a few repeated sounds like barks,1,,,
4,AMAR418.1.20190402T085409Z.wav,1283.11,1285.052422,100,9507.9,1283.11,KW,KWSR,J & J,S1 & S1,,1,,,
5,AMAR418.1.20190402T085409Z.wav,1255.419,1258.040355,190.9,10392.7,1255.419389,KW,KWSR,J & J,S1 & S1,,2,,,
6,AMAR418.1.20190402T085409Z.wav,1203.56,1204.794356,100,3000,1203.56,KW,KWSR,J,S1,,1,,,
7,AMAR418.1.20190402T085409Z.wav,1215.597,1216.907261,100,9733.4,1215.596779,KW,KWSR,J,S1,,1,,,
8,AMAR418.1.20190402T085409Z.wav,1221.722,1223.177421,100,8397.5,1221.721779,KW,KWSR,J,S1,,1,,,
9,AMAR418.1.20190402T085409Z.wav,1223.935,1225.471776,100,8414.8,1223.935488,KW,KWSR,J,S1,,1,,,
10,AMAR418.1.20190402T085409Z.wav,1227.43,1228.979841,100,9455.8,1227.43,KW,KWSR,J,S1,,1,,,
11,AMAR418.1.20190402T085409Z.wav,1233.827,1235.536293,100,10375.4,1233.826619,KW,KWSR,J,S1,,1,,,
12,AMAR418.1.20190402T085409Z.wav,1243.25,1244.75,100,10271.3,1243.25,KW,KWSR,J,S1,Two S1 overlapped,1,,,
13,AMAR418.1.20190402T085409Z.wav,1246.911,1248.750001,100,7460.6,1246.911294,KW,KWSR,J,S1,,1,,,
14,AMAR418.1.20190402T085409Z.wav,1263.46,1265.056454,100,8605.7,1263.459682,KW,KWSR,J,S1,,1,,,
15,AMAR418.1.20190402T085409Z.wav,1273.117,1274.483874,100,9959,1273.116941,KW,KWSR,J,S1,,1,,,
16,AMAR418.1.20190402T085409Z.wav,1276.319,1277.754035,100,7408.5,1276.318553,KW,KWSR,J,S1,,1,,,
17,AMAR418.1.20190402T085409Z.wav,1279.42,1281.133067,100,10028.4,1279.42,KW,KWSR,J,S1,End of a preceding S1 at the beginning,1,,,
18,AMAR418.1.20190402T085409Z.wav,1287.42,1288.58,100,8727.1,1287.42,KW,KWSR,J,S1,,1,,,
19,AMAR418.1.20190402T085409Z.wav,1292.625,1293.919357,100,8640.4,1292.625004,KW,KWSR,J,S1,,1,,,
20,AMAR418.1.20190402T085409Z.wav,1297.976,1299.60484,100,8623,1297.97581,KW,KWSR,J,S1,Rasp at the end,1,,,
21,AMAR418.1.20190402T085409Z.wav,1307.315,1308.806454,100,7200.3,1307.314521,KW,KWSR,J,S1,,1,,,
22,AMAR418.1.20190402T085409Z.wav,1775.109,1776.629035,1873.8,5343.8,1775.108876,KW,KWSR,J,S1,In vessel noise,1,,,
23,AMAR418.1.20190402T085409Z.wav,1781.835,1782.681454,2324.9,9733.4,1781.834682,KW,KWSR,J,S1,Fast version,1,,,
24,AMAR418.1.20190402T085409Z.wav,815.524,816.0887465,763.4,3487.4,815.5242308,KW,KWSR,J,S1,,2,,,
25,AMAR418.1.20190402T085409Z.wav,816.492,817.4193906,1752.4,4493.7,816.491972,KW,KWSR,J,S1,,2,,,
26,AMAR418.1.20190402T085409Z.wav,860.306,861.6693912,173.5,3678.2,860.306489,KW,KWSR,J,S1,,2,,,
27,AMAR418.1.20190402T085409Z.wav,872.677,873.81455,138.8,3088.3,872.6774541,KW,KWSR,J,S1,,2,,,
28,AMAR418.1.20190402T085409Z.wav,873.855,874.4435818,190.9,3313.9,873.8548725,KW,KWSR,J,S1,,2,,,
29,AMAR418.1.20190402T085409Z.wav,894.734,896.0806791,69.4,5066.2,894.7339059,KW,KWSR,J,S1,,2,,,
30,AMAR418.1.20190402T085409Z.wav,897.452,898.7984189,242.9,6107.3,897.4516457,KW,KWSR,J,S1,,2,,,
31,AMAR418.1.20190402T085409Z.wav,915.611,917.1352692,121.5,4146.7,915.6110768,KW,KWSR,J,S1,,2,,,
32,AMAR418.1.20190402T085409Z.wav,926.831,928.36294,295,8241.3,926.8306832,KW,KWSR,J,S1,,2,,,
33,AMAR418.1.20190402T085409Z.wav,1027.202,1028.322617,138.8,3938.5,1027.20165,KW,KWSR,J,S1,,2,,,
34,AMAR418.1.20190402T085409Z.wav,1091.934,1093.16741,1127.8,4875.4,1091.93354,KW,KWSR,J,S1,,2,,,
35,AMAR418.1.20190402T085409Z.wav,1095.853,1097.223859,156.2,8501.6,1095.852892,KW,KWSR,J,S1,,2,,,
36,AMAR418.1.20190402T085409Z.wav,1100.25,1101.516164,138.8,2984.2,1100.250036,KW,KWSR,J,S1,,2,,,
37,AMAR418.1.20190402T085409Z.wav,1125.532,1127.040359,190.9,9334.4,1125.532296,KW,KWSR,J,S1,,2,,,
38,AMAR418.1.20190402T085409Z.wav,1144.806,1145.395197,190.9,2602.5,1144.806488,KW,KWSR,J,S1,,2,,,
39,AMAR418.1.20190402T085409Z.wav,1170.831,1171.701649,260.3,3574.1,1170.830682,KW,KWSR,J,S1,,2,,,
40,AMAR418.1.20190402T085409Z.wav,1173.677,1174.669389,190.9,6228.7,1173.677454,KW,KWSR,J,S1,,2,,,
41,AMAR418.1.20190402T085409Z.wav,1197.298,1198.137134,260.3,3626.2,1197.298425,KW,KWSR,J,S1,,2,,,
42,AMAR418.1.20190402T085409Z.wav,1207.177,1209.016165,173.5,7755.5,1207.177456,KW,KWSR,J,S1,,2,,,
43,AMAR418.1.20190402T085409Z.wav,1210.661,1212.991968,242.9,8224,1210.661325,KW,KWSR,J,S1,With unknown at the end,2,,,
44,AMAR418.1.20190402T085409Z.wav,1214.831,1215.387134,190.9,2359.6,1214.830683,KW,KWSR,J,S1,,2,,,
45,AMAR418.1.20190402T085409Z.wav,1235.653,1237.193583,138.8,7824.9,1235.653262,KW,KWSR,J,S1,,2,,,
46,AMAR418.1.20190402T085409Z.wav,1304.436,1305.887134,242.9,10080.4,1304.435522,KW,KWSR,J,S1,,2,,,
47,AMAR418.1.20190402T085409Z.wav,1784.835,1786.069178,1058.4,4771.3,1784.835308,KW,KWSR,J,S1,Masked by vessel noise,2,,,
48,AMAR418.1.20180915T220639Z.wav,1153.306031,1154.962432,480.5,8532.5,1153.306,KW,,,,,2,,,
49,AMAR418.1.20180915T220639Z.wav,1175.713639,1176.677308,740.3,4896.1,1175.714,KW,,,,Difficult to ID with spectrogram image alone,2,,,
50,AMAR418.1.20180915T220639Z.wav,1180.795562,1181.943959,636.4,6402.6,1180.796,KW,,,,Difficult to ID with spectrogram image alone,2,,,
51,AMAR418.1.20180915T220639Z.wav,1183.245073,1184.778322,636.4,8701.3,1183.245,KW,,,,,2,,,
52,AMAR418.1.20180915T220639Z.wav,1190.543741,1191.319602,610.4,2532.5,1190.544,KW,,,,Difficult to ID with spectrogram image alone,2,,,
53,AMAR418.1.20180915T220639Z.wav,1224.684111,1225.810956,285.7,5844.2,1224.684,KW,,,,,2,,,
54,AMAR418.1.20180915T220639Z.wav,1229.387312,1230.17241,558.4,8597.4,1229.387,KW,,,,Difficult to ID with spectrogram image alone,2,,,
55,AMAR418.1.20180915T220639Z.wav,1243.364528,1244.673024,467.5,6026,1243.365,KW,,,,Difficult to ID with spectrogram image alone,2,,,
56,AMAR418.1.20180915T220639Z.wav,1246.220442,1247.125613,701.3,5441.6,1246.22,KW,,,,Difficult to ID with spectrogram image alone,2,,,
57,AMAR418.1.20180915T220639Z.wav,1326.184107,1326.947652,1441.6,3246.8,1326.184,KW,,,,Difficult to ID with spectrogram image alone,2,,,
58,AMAR418.1.20180915T220639Z.wav,1329.230907,1329.895931,1480.5,3142.9,1329.231,KW,,,,Difficult to ID with spectrogram image alone,2,,,
59,AMAR418.1.20180915T220639Z.wav,1511.147783,1511.551108,2350.6,5233.8,1511.148,KW,,,,Difficult to ID with spectrogram image alone,2,,,
60,AMAR418.1.20180915T220639Z.wav,1536.942113,1537.302334,7987,9233.8,1536.942,KW,,,,,2,,,
61,AMAR418.1.20180915T220639Z.wav,1546.427314,1546.898373,1181.8,3727.3,1546.427,KW,,,,Difficult to ID with spectrogram image alone,2,,,
62,AMAR418.1.20180915T220639Z.wav,1550.814649,1551.56588,1246.8,10285.7,1550.815,KW,,,,,2,,,
63,AMAR418.1.20180915T220639Z.wav,1551.891009,1552.531402,1116.9,5285.7,1551.891,KW,,,,Difficult to ID with spectrogram image alone,2,,,
64,AMAR418.1.20180915T220639Z.wav,1554.855906,1555.548639,1428.6,5285.7,1554.856,KW,,,,Difficult to ID with spectrogram image alone,2,,,
65,AMAR418.1.20180915T220639Z.wav,1558.176721,1558.810956,3714.3,10441.6,1558.177,KW,,,,,2,,,
