annot_id,filename,offset,end,freq_min,freq_max,start,sound_id_species,kw_ecotype,pod,label,comments,annotator
1,AMAR418.1.20180902T143639Z.wav,714.9077717,716.1577708,379.3,6995.6,714.908,KW,KWSR,J,S1,,2
2,AMAR418.1.20180907T030639Z.wav,239.8871016,241.4032294,429.4,5724.9,239.887,KW,KWSR,J,S1,Two overlapped S1,1
3,AMAR418.1.20180907T030639Z.wav,241.46,242.8629057,100,8873.6,241.46,KW,KWSR,J,S1,,1
4,AMAR418.1.20180907T030639Z.wav,290.9999969,292.5161247,388.5,7299.3,291,KW,KWSR,J,S1,,1
5,AMAR418.1.20180907T030639Z.wav,562.55,563.6209704,716.9,7333.3,562.55,KW,KWSR,J,S1,Variant,1
6,AMAR418.1.20180907T030639Z.wav,4.919350995,6.620962569,1658.1,8856.6,4.919,KW,KWSR,J,S1,Masked by vessel noise,2
7,AMAR418.1.20180912T150639Z.wav,383.046,384.012748,2441.6,4908.5,383.046,KW,KWSR,J,S1,Lots of noise from something flapping in the current,1
8,AMAR418.1.20180912T150639Z.wav,469.483,470.2902449,440.5,7173.9,469.483,KW,KWSR,J,S1,Lots of noise from something flapping in the current,1
9,AMAR418.1.20180912T150639Z.wav,585.945,587.1642109,1636.2,20703.7,585.945,KW,KWSR,J,S1,Lots of noise from something flapping in the current,1
10,AMAR418.1.20180912T150639Z.wav,691.29,692.71,300,6217.4,691.29,KW,KWSR,J,S1,,1
11,AMAR418.1.20180912T150639Z.wav,339.755,340.7525362,2529.7,4984,339.755,KW,KWSR,J,S1,Faint,2
12,AMAR418.1.20180912T150639Z.wav,342.076,343.7792077,2001.1,7513.7,342.076,KW,KWSR,J,S1,Faint,2
13,AMAR418.1.20180912T150639Z.wav,348.878,349.6230734,1548.1,4795.2,348.878,KW,KWSR,J,S1,Faint,2
14,AMAR418.1.20180912T150639Z.wav,364.649,365.4802802,1447.4,5298.6,364.649,KW,KWSR,J,S1,Faint,2
