,Soundfile,Left time (sec),Right time (sec),Top freq (Hz),Bottom freq (Hz),Species,Call Type,Comments,Unnamed: 8
0,ICLISTENHF1251_20130520T003321.072Z.wav,188.7032599,190.0784078,9471.45,908.88,Oo,PC,BKW,
1,ICLISTENHF1251_20130520T003321.072Z.wav,190.09649,191.41737,6276.42,846.02,Oo,PC,BKW,
2,ICLISTENHF1251_20130520T173843.692Z.wav,15.56091,16.7913,3924.17,678.75,Oo,PC,BKW,
3,ICLISTENHF1251_20130520T173843.692Z.wav,19.63209,20.64536,6357.87,1373.52,Oo,PC,BKW,
4,ICLISTENHF1251_20130520T173843.692Z.wav,37.68998,38.54041,4035,1396.52,Oo,PC,BKW,
5,ICLISTENHF1251_20130520T173843.692Z.wav,52.56332,53.269,3456.32,1306.42,Oo,PC,BKW,
6,ICLISTENHF1251_20130520T173843.692Z.wav,189.02895,190.27744,3924.17,1200.66,Oo,PC,BKW,
7,ICLISTENHF1251_20130520T173843.692Z.wav,197.4608,199.14355,11585.24,1516.37,Oo,PC,BKW,
8,ICLISTENHF1251_20130520T173843.692Z.wav,209.47527,211.48372,6778.43,908.88,Oo,PC,BKW,
9,ICLISTENHF1251_20130520T173843.692Z.wav,241.41134,242.4246,3979.27,1396.52,Oo,PC,BKW,
10,ICLISTENHF1251_20130520T173843.692Z.wav,249.57176,250.4222,4692.26,1467.44,Oo,PC,BKW,
11,ICLISTENHF1251_20130520T173843.692Z.wav,252.15923,252.81062,7131.33,1396.52,Oo,PC,BKW,
12,ICLISTENHF1251_20130520T173843.692Z.wav,264.62606,265.53076,6440.19,1467.44,Oo,PC,BKW,
13,ICLISTENHF1251_20130520T173843.692Z.wav,275.48251,276.51387,6865.26,1350.85,Oo,PC,BKW,
14,ICLISTENHF1251_20130520T173843.692Z.wav,284.42099,285.41615,6440.19,1396.52,Oo,PC,BKW,
15,ICLISTENHF1251_20130520T173843.692Z.wav,289.99396,291.0796,3869.72,1350.85,Oo,PC,BKW,
16,ICLISTENHF1251_20130520T174343.693Z.wav,1.55609,2.65983,9134.14,1443.47,Oo,PC,BKW,
17,ICLISTENHF1251_20130520T174343.693Z.wav,47.09891,48.076,6692.51,1284.67,Oo,PC,BKW,
18,ICLISTENHF1251_20130520T174343.693Z.wav,50.53679,51.51387,5224.35,1306.42,Oo,PC,BKW,
19,ICLISTENHF1251_20130520T174343.693Z.wav,52.72618,53.79372,6116.14,1373.52,Oo,PC,BKW,
20,ICLISTENHF1251_20130520T174343.693Z.wav,57.68395996,58.66104007,10422.05,691.54,Oo,PC,BKW,
21,ICLISTENHF1251_20130520T174343.693Z.wav,63.96261001,65.1025331,8594.22,731.13,Oo,PC,BKW,
22,ICLISTENHF1251_20130520T174343.693Z.wav,77.80458,78.99878,7313.45,1160.41,Oo,PC,BKW,
23,ICLISTENHF1251_20130520T184343.704Z.wav,171.09771,172.02051,9819.07,815.98,Oo,PC,BKW,
24,ICLISTENHF1251_20130520T184343.704Z.wav,179.9819,181.03136,6778.43,1541.34,Oo,PC,BKW,
25,ICLISTENHF1251_20130520T185343.707Z.wav,76.04945,77.4608,6276.42,1046.3,Oo,PC,BKW,
26,ICLISTENHF1251_20130520T185343.707Z.wav,157.14716,158.48613,8283.22,772.58,Oo,PC,BKW,
27,ICLISTENHF1251_20130520T185343.707Z.wav,170.71773,171.76719,4820.85,1221.22,Oo,PC,BKW,
28,ICLISTENHF1251_20130520T185343.707Z.wav,190.56695,192.23159,5655.61,830.89,Oo,PC,BKW,
29,ICLISTENHF1251_20130520T185343.707Z.wav,206.14596,207.73824,9023.95,830.89,Oo,PC,BKW,
30,ICLISTENHF1251_20130520T185343.707Z.wav,220.82026,222.59349,4148.43,425.73,Oo,PC,BKW,
31,ICLISTENHF1251_20130520T185343.707Z.wav,225.14475,226.30277,9586.17,892.8,Oo,PC,BKW,
32,ICLISTENHF1251_20130520T185343.707Z.wav,226.7732208,227.84076,7499.42,361.37,Oo,PC,BKW,
33,ICLISTENHF1251_20130520T185343.707Z.wav,227.7684,229.1616406,7883.21,368.94,Oo,PC,BKW,
34,ICLISTENHF1251_20130520T185343.707Z.wav,232.40047,233.8842,5959.28,629.54,Oo,PC,BKW,
35,ICLISTENHF1251_20130520T185343.707Z.wav,234.87937,236.39928,12276.87,1046.3,Oo,PC,BKW,
36,ICLISTENHF1251_20130520T185343.707Z.wav,238.02774,239.31242,6607.51,846.02,Oo,PC,BKW,
37,ICLISTENHF1251_20130520T185343.707Z.wav,239.00483,240.9047,11996.2,470.61,Oo,PC,BKW,
38,ICLISTENHF1251_20130520T185343.707Z.wav,242.18938,243.43788,3263.86,801.29,Oo,PC,BKW,
39,ICLISTENHF1251_20130520T185343.707Z.wav,243.79975,245.04825,7785.76,489.63,Oo,PC,BKW,
40,ICLISTENHF1251_20130520T185343.707Z.wav,244.72255,245.98914,8914.87,332.37,Oo,PC,BKW,
41,ICLISTENHF1251_20130520T185343.707Z.wav,248.37756,249.89746,11186.07,908.88,Oo,PC,BKW,
42,ICLISTENHF1251_20130520T185343.707Z.wav,251.9421,253.11821,7405.95,509.27,Oo,PC,BKW,
43,ICLISTENHF1251_20130520T185343.707Z.wav,254.04101,255.3076,6607.51,1644.67,Oo,PC,BKW,
44,ICLISTENHF1251_20130520T185343.707Z.wav,256.04946,257.82268,11857.88,1443.47,Oo,PC,BKW,
45,ICLISTENHF1251_20130520T185343.707Z.wav,261.60433,263.75754,8914.87,376.64,Oo,PC,BKW,
