Event.ID,UTC.Offset,Start.DateTime.UTC,End.DateTime.UTC,Start.DateTime.Local,End.DateTime.Local,Start.Date.Local,Start.Time.Local,Event.Duration,eventType,comment,SRKW,Transient,Uncertain 
11,7:00,2019-07-05 13:53,2019-07-05 14:54,2019-07-05 6:53,2019-07-05 7:54,7-5-19,6:53:38,1:01:06, Killer Whale, SRKW,1,0,0
13,7:00,2019-07-05 16:03,2019-07-05 16:58,2019-07-05 9:03,2019-07-05 9:58,7-5-19,9:03:26,0:55:21, Killer Whale, SRKW,1,0,0
21,7:00,2019-07-05 21:01,2019-07-05 21:44,2019-07-05 14:01,2019-07-05 14:44,7-5-19,14:01:44,0:42:39, Killer Whale,SRKW,1,0,0
30,7:00,2019-07-06 4:27,2019-07-06 4:40,2019-07-05 21:27,2019-07-05 21:40,7-5-19,21:27:09,0:13:49, Killer Whale, SRKW,1,0,0
32,7:00,2019-07-06 5:23,2019-07-06 6:36,2019-07-05 22:23,2019-07-05 23:36,7-5-19,22:23:55,1:12:42, Killer Whale, SRKW - almost entirely calls,1,0,0
35,7:00,2019-07-06 7:38,2019-07-06 7:42,2019-07-06 0:38,2019-07-06 0:42,7-6-19,0:38:07,0:04:22, Killer Whale, SRKW - calls,1,0,0
43,7:00,2019-07-06 21:13,2019-07-06 21:47,2019-07-06 14:13,2019-07-06 14:47,7-6-19,14:13:27,0:34:32, Killer Whale, SRKW,1,0,0
14,7:00,2019-08-07 7:09,2019-08-07 7:13,2019-08-07 0:09,2019-08-07 0:13,8-7-19,0:09:20,0:04:10,Killer Whale,prob Transient,0,1,1
15,7:00,2019-08-07 8:47,2019-08-07 8:49,2019-08-07 1:47,2019-08-07 1:49,8-7-19,1:47:11,0:02:31,Killer Whale,prob Transient,0,1,1
684,7:00,2019-08-13 13:53,2019-08-13 13:54,2019-08-13 6:53,2019-08-13 6:54,8-13-19,6:53:01,0:01:57, Killer Whale, Transient calls - brief and faint,0,1,1
722,7:00,2019-08-15 9:40,2019-08-15 10:43,2019-08-15 2:40,2019-08-15 3:43,8-15-19,2:40:35,1:03:18, Killer Whale, prob SRKW,1,0,1
732,7:00,2019-08-15 21:26,2019-08-15 21:26,2019-08-15 14:26,2019-08-15 14:26,8-15-19,14:26:52,0:00:00, Killer Whale,Unk - EC only,0,0,1
731,7:00,2019-08-15 22:20,2019-08-15 22:23,2019-08-15 15:20,2019-08-15 15:23,8-15-19,15:20:50,0:02:29, Killer Whale, Unk - 1 bout of EC in ship noise,0,0,1
742,7:00,2019-08-16 1:37,2019-08-16 2:20,2019-08-15 18:37,2019-08-15 19:20,8-15-19,18:37:31,0:43:27, Killer Whale, SRKW,1,0,0
749,7:00,2019-08-16 13:37,2019-08-16 13:46,2019-08-16 6:37,2019-08-16 6:46,8-16-19,6:37:06,0:09:52, Killer Whale, SRKW,1,0,0
750,7:00,2019-08-16 21:33,2019-08-16 22:18,2019-08-16 14:33,2019-08-16 15:18,8-16-19,14:33:19,0:45:27, Killer Whale, SRKW,1,0,0
762,7:00,2019-08-17 1:06,2019-08-17 2:46,2019-08-16 18:06,2019-08-16 19:46,8-16-19,18:06:51,1:40:04, Killer Whale, SRKW,1,0,0
766,7:00,2019-08-17 12:24,2019-08-17 13:47,2019-08-17 5:24,2019-08-17 6:47,8-17-19,5:24:23,1:22:40, Killer Whale, SRKW,1,0,0
782,7:00,2019-08-18 2:09,2019-08-18 2:42,2019-08-17 19:09,2019-08-17 19:42,8-17-19,19:09:22,0:33:08, Killer Whale, SRKW,1,0,0
821,7:00,2019-08-20 2:00,2019-08-20 4:59,2019-08-19 19:00,2019-08-19 21:59,8-19-19,19:00:26,2:58:34, Killer Whale,SRKW,1,0,0
843,7:00,2019-08-21 0:02,2019-08-21 3:49,2019-08-20 17:02,2019-08-20 20:49,8-20-19,17:02:02,3:47:07, Killer Whale," Transient? - difficult event somewhat unusual for Trans but many calls seem Transient, could be SRKW mixed in but can't 100% confirm a pure SRKW encounter, keeping in KW all spreadsheet",0,1,1
867,7:00,2019-08-22 1:59,2019-08-22 4:44,2019-08-21 18:59,2019-08-21 21:44,8-21-19,18:59:19,2:44:48, Killer Whale,SRKW,1,0,0
937,7:00,2019-08-24 20:20,2019-08-24 20:26,2019-08-24 13:20,2019-08-24 13:26,8-24-19,13:20:20,0:05:42, Killer Whale, Transient,0,1,0
947,7:00,2019-08-25 16:12,2019-08-25 16:51,2019-08-25 9:12,2019-08-25 9:51,8-25-19,9:12:54,0:38:39, Killer Whale, SRKW,1,0,0
956,7:00,2019-08-25 22:20,2019-08-25 23:23,2019-08-25 15:20,2019-08-25 16:23,8-25-19,15:20:10,1:03:39, Killer Whale, SRKW,1,0,0
998,7:00,2019-08-27 10:18,2019-08-27 10:18,2019-08-27 3:18,2019-08-27 3:18,8-27-19,3:18:32,0:00:00, Killer Whale, Can't confirm ID - likely Transient but only 1 call/scream,0,1,1
1003,7:00,2019-08-27 13:07,2019-08-27 13:07,2019-08-27 6:07,2019-08-27 6:07,8-27-19,6:07:39,0:00:01, Killer Whale, No ID - EC Only 1 bout then ship noise,0,0,1
1005,7:00,2019-08-27 15:05,2019-08-27 16:58,2019-08-27 8:05,2019-08-27 9:58,8-27-19,8:05:28,1:53:28, Killer Whale,SRKW,1,0,0
1056,7:00,2019-08-29 21:01,2019-08-29 21:30,2019-08-29 14:01,2019-08-29 14:30,8-29-19,14:01:45,0:29:09, Killer Whale, SRKW,1,0,0
1144,7:00,2019-09-01 1:42,2019-09-01 2:21,2019-08-31 18:42,2019-08-31 19:21,8-31-19,18:42:20,0:39:04, Killer Whale, SRKW,1,0,0
1229,7:00,2019-09-04 0:39,2019-09-04 0:42,2019-09-03 17:39,2019-09-03 17:42,9-3-19,17:39:59,0:02:52, Killer Whale, prob SRKW (K's?),1,0,1
1245,7:00,2019-09-04 17:00,2019-09-04 17:07,2019-09-04 10:00,2019-09-04 10:07,9-4-19,10:00:32,0:06:50, Killer Whale, possible SRKW,1,0,1
1253,7:00,2019-09-05 2:28,2019-09-05 3:22,2019-09-04 19:28,2019-09-04 20:22,9-4-19,19:28:49,0:53:44, Killer Whale,SRKW,1,0,0
1335,7:00,2019-09-07 17:30,2019-09-07 17:30,2019-09-07 10:30,2019-09-07 10:30,9-7-19,10:30:26,0:00:00, Killer Whale, likely Transient - distant and in ship noise,0,1,1
1385,7:00,2019-09-10 0:28,2019-09-10 0:52,2019-09-09 17:28,2019-09-09 17:52,9-9-19,17:28:12,0:24:40, Killer Whale, Unknown - Clicks only,0,0,1
1395,7:00,2019-09-10 2:45,2019-09-10 3:11,2019-09-09 19:45,2019-09-09 20:11,9-9-19,19:45:07,0:26:45, Killer Whale, Transient,0,1,0
