,filename,offset,end,freq_min,freq_max,start,sound_id_species,kw_ecotype,pod,call_type,comments,annotator,path
0,ICLISTENHF1251_20130520T003321.072Z.wav,24.764222358,25.008124606,6505.5,29890.1,24.7642,Unknown,,,,Internal clock?,,/data/audio/ONC/event_files
1,ICLISTENHF1251_20130520T175843.696Z.wav,1881.218766484,1884.61057685,4196.0,28705.3,81.2188,Echolocation,,,,,,/data/audio/ONC/event_files
2,ICLISTENHF1251_20130520T185843.706Z.wav,5524.19740618,5525.661967333,577.358,6316.972,124.1974,KW,KWT,,T07?,,,/data/audio/ONC/event_files
3,ICLISTENHF1251_20130520T185843.706Z.wav,5526.332489307,5527.832341091,713.207,6350.935,126.3325,KW,KWT,,T07?,,,/data/audio/ONC/event_files
4,ICLISTENHF1251_20130520T185843.706Z.wav,5532.210157831,5533.251231422,747.169,5977.35,132.2102,KW,KWT,,T07?,,,/data/audio/ONC/event_files
5,ICLISTENHF1251_20130520T185843.706Z.wav,5575.144766667,5576.485810614,577.358,4313.202,175.1448,KW,KWT,,T03?/T04?/T07?,faint,,/data/audio/ONC/event_files
6,ICLISTENHF1251_20130520T185843.706Z.wav,5578.462085906,5580.225932005,236.688,6316.972,178.4621,KW,KWT,,T03?/T04?/T07?,faint,,/data/audio/ONC/event_files
7,ICLISTENHF1251_20130520T185843.706Z.wav,5585.394552893,5586.668936023,679.244,6826.406,185.3945,KW,KWT,,,overlapping calls,,/data/audio/ONC/event_files
8,ICLISTENHF1251_20130520T185843.706Z.wav,5595.701195508,5597.148111346,713.207,4720.748,195.7012,KW,KWT,,,faint,,/data/audio/ONC/event_files
9,ICLISTENHF1251_20130520T185843.706Z.wav,5599.689036721,5601.188888505,339.622,6588.67,199.689,KW,KWT,,,faint,,/data/audio/ONC/event_files
10,ICLISTENHF1251_20130520T185843.706Z.wav,5651.659825484,5653.653746091,203.773,6045.275,251.6598,KW,KWT,,,"Masked by vessel noise,overlapping calls",,/data/audio/ONC/event_files
11,ICLISTENHF1251_20130520T185843.706Z.wav,5670.944015581,5672.620772071,984.904,2650.911,270.944,KW,KWT,,,faint,,/data/audio/ONC/event_files
12,ICLISTENHF1251_20130520T185843.706Z.wav,5678.185271669,5679.327318849,475.471,4279.239,278.1853,KW,KWT,,,"Masked by vessel noise,overlapping calls",,/data/audio/ONC/event_files
13,ICLISTENHF1251_20130520T185843.706Z.wav,5674.373883607,5676.103124487,339.622,2818.864,274.3739,KW,KWT,,T03?/T04?/T07?,"faint, Masked by vessel noise",,/data/audio/ONC/event_files
14,ICLISTENHF1251_20130520T190343.707Z.wav,5700.102531622,5700.931861432,577.358,4890.559,0.1025,KW,KWT,,T07?,"faint, Masked by vessel noise",,/data/audio/ONC/event_files
15,ICLISTENHF1251_20130520T190343.707Z.wav,5712.952466314,5713.925681828,509.433,4720.748,12.9525,KW,KWT,,T07?,"faint, Masked by vessel noise",,/data/audio/ONC/event_files
16,ICLISTENHF1251_20130520T190343.707Z.wav,5718.068086321,5719.665157932,509.433,5060.37,18.0681,KW,KWT,,T07?,"faint, Masked by vessel noise",,/data/audio/ONC/event_files
17,ICLISTENHF1251_20130520T190343.707Z.wav,5721.586634715,5722.859301156,373.584,7471.688,21.5866,KW,KWT,,T07?,"faint, Masked by vessel noise",,/data/audio/ONC/event_files
18,ICLISTENHF1251_20130520T190343.707Z.wav,5726.510610894,5727.583643384,611.32,5017.795,26.5106,KW,KWT,,T07?,"faint, Masked by vessel noise",,/data/audio/ONC/event_files
19,ICLISTENHF1251_20130520T190343.707Z.wav,5851.262898698,5852.785107578,645.282,2716.977,151.2629,KW,KWT,,T03?/T04?/T07?,Faint call?,,/data/audio/ONC/event_files
